EmployeeID,ExitDate,ExitType,ExitReason,TenureDaysAtExit
EMP10839,2026-07-25,Resignation,Relocation,1036
EMP10840,2024-08-23,Absconding,No Intimation,6
EMP10841,2023-08-06,Resignation,Better Offer,22
EMP10842,2024-12-12,Resignation,Relocation,187
EMP10844,2024-03-23,Resignation,Personal / Family,812
EMP10845,2024-05-07,Resignation,Career Growth,976
EMP10846,2023-09-02,Resignation,Career Growth,849
EMP10847,2026-01-12,Absconding,Site Conditions,30
EMP10848,2025-02-08,Resignation,Personal / Family,189
EMP10849,2024-09-12,Resignation,Manager Relationship,1290
EMP10850,2025-05-25,Resignation,Career Growth,211
EMP10853,2026-05-04,Absconding,Wage Dispute,37
EMP10854,2024-04-08,Resignation,Personal / Family,254
EMP10855,2023-07-30,Resignation,Salary,1020
EMP10856,2025-02-09,Resignation,Manager Relationship,837
EMP10857,2023-06-17,Resignation,Salary,1316
EMP10858,2025-02-03,Absconding,Site Conditions,16
EMP10859,2025-08-07,Resignation,Personal / Family,47
EMP10861,2025-07-25,Resignation,Salary,489
EMP10863,2023-05-23,Resignation,Salary,668
EMP10864,2024-06-25,Resignation,Personal / Family,388
EMP10866,2026-03-11,Absconding,No Intimation,25
EMP10867,2024-03-01,Resignation,Manager Relationship,251
EMP10868,2024-09-14,Resignation,Manager Relationship,266
EMP10869,2023-12-20,Resignation,Personal / Family,881
EMP10871,2025-05-20,Resignation,Better Offer,752
EMP10872,2024-12-16,Resignation,Personal / Family,946
EMP10873,2025-04-03,Absconding,No Intimation,19
EMP10874,2023-05-07,Resignation,Work Conditions,860
EMP10876,2024-04-02,Resignation,Work Conditions,24
EMP10877,2025-02-23,Resignation,Salary,2155
EMP10879,2026-04-29,Resignation,Better Offer,1434
EMP10882,2023-12-16,Resignation,Personal / Family,1178
EMP10883,2025-03-01,End of Contract,Project Demobilisation,1485
EMP10884,2025-10-18,Resignation,Career Growth,7
EMP10885,2026-06-23,Resignation,Work Conditions,871
EMP10886,2026-08-11,Resignation,Salary,143
EMP10889,2023-09-30,Resignation,Career Growth,1029
EMP10892,2024-09-07,Resignation,Salary,469
EMP10894,2025-07-20,Resignation,Manager Relationship,400
EMP10898,2025-06-21,Resignation,Better Offer,49
EMP10902,2025-09-21,Absconding,No Intimation,8
EMP10903,2024-02-06,Resignation,Salary,845
EMP10904,2023-05-14,Resignation,Career Growth,83
EMP10906,2026-07-21,Resignation,Work Conditions,535
EMP10907,2024-06-03,Resignation,Relocation,465
EMP10909,2025-05-18,Resignation,Better Offer,15
EMP10910,2026-06-04,Resignation,Career Growth,215
EMP10911,2026-04-10,Resignation,Better Offer,1525
EMP10915,2024-08-05,Resignation,Better Offer,1077
EMP10918,2023-10-26,Absconding,Wage Dispute,19
EMP10920,2024-11-09,Resignation,Work Conditions,546
EMP10921,2025-09-20,Termination,Attendance,196
EMP10924,2024-10-24,Resignation,Salary,903
EMP10925,2026-08-22,End of Contract,Project Demobilisation,28
EMP10926,2024-10-27,Resignation,Salary,8
EMP10928,2024-12-05,End of Contract,Contract Not Renewed,1997
EMP10930,2025-04-24,Resignation,Manager Relationship,621
EMP10931,2026-01-07,Resignation,Personal / Family,32
EMP10934,2026-06-16,Resignation,Manager Relationship,1109
EMP10935,2023-07-11,Termination,Disciplinary,888
EMP10936,2024-09-15,Absconding,Wage Dispute,22
EMP10938,2026-06-01,Resignation,Career Growth,23
EMP10939,2025-09-27,Resignation,Manager Relationship,28
EMP10940,2024-03-03,Absconding,Wage Dispute,43
EMP10941,2024-05-14,Absconding,Site Conditions,31
EMP10942,2023-10-16,Resignation,Better Offer,1358
EMP10946,2024-02-20,End of Contract,Project Demobilisation,1537
EMP10949,2024-09-16,Resignation,Work Conditions,373
EMP10951,2024-04-23,Resignation,Salary,136
EMP10952,2024-11-01,Resignation,Personal / Family,111
EMP10953,2026-03-17,Resignation,Career Growth,836
EMP10954,2026-04-02,Resignation,Salary,635
EMP10955,2026-03-01,Resignation,Personal / Family,2078
EMP10956,2024-08-31,Resignation,Personal / Family,161
EMP10957,2024-10-07,Resignation,Work Conditions,1634
EMP10958,2024-07-25,End of Contract,Contract Not Renewed,1155
EMP10959,2024-05-09,End of Contract,Contract Not Renewed,313
EMP10960,2024-09-08,Absconding,No Intimation,29
EMP10961,2026-06-26,Resignation,Work Conditions,1745
EMP10963,2023-11-23,Resignation,Career Growth,12
EMP10964,2023-07-01,Resignation,Salary,70
EMP10965,2024-04-15,Resignation,Work Conditions,1664
EMP10966,2025-06-07,Absconding,Site Conditions,35
EMP10967,2026-05-04,Resignation,Personal / Family,331
EMP10968,2023-10-08,Resignation,Manager Relationship,1126
EMP10969,2026-05-27,Resignation,Work Conditions,816
EMP10970,2023-07-23,Resignation,Career Growth,1225
EMP10971,2024-09-02,Resignation,Career Growth,499
EMP10972,2023-07-04,Resignation,Better Offer,1062
EMP10974,2024-07-21,End of Contract,Project Demobilisation,1117
EMP10975,2025-07-27,Absconding,No Intimation,22
EMP10976,2023-07-09,Resignation,Career Growth,1424
EMP10978,2023-10-16,Resignation,Better Offer,1660
EMP10979,2025-05-29,Resignation,Personal / Family,1499
EMP10980,2023-08-16,Termination,Attendance,441
EMP10982,2025-11-05,Resignation,Relocation,18
EMP10984,2026-08-28,Resignation,Salary,2407
EMP10986,2025-01-30,Resignation,Salary,26
EMP10989,2023-12-17,Termination,Performance,232
EMP10992,2025-03-19,Resignation,Personal / Family,207
EMP10995,2023-12-07,Resignation,Relocation,12
EMP10996,2025-04-16,Absconding,Site Conditions,11
EMP11000,2024-06-10,Resignation,Better Offer,679
EMP11002,2026-04-17,Resignation,Work Conditions,167
EMP11003,2025-08-21,Absconding,Site Conditions,12
EMP11004,2025-05-27,Resignation,Better Offer,290
EMP11005,2023-07-14,Resignation,Better Offer,1201
EMP11008,2024-07-31,Resignation,Personal / Family,712
EMP11010,2025-06-11,Resignation,Better Offer,144
EMP11011,2023-09-14,Resignation,Manager Relationship,637
EMP11013,2023-12-03,End of Contract,Project Demobilisation,29
EMP11015,2023-11-19,Absconding,Site Conditions,29
EMP11016,2025-04-13,End of Contract,Project Demobilisation,204
EMP11017,2024-03-02,Absconding,Site Conditions,28
EMP11019,2025-12-07,Resignation,Relocation,358
EMP11020,2026-05-23,Resignation,Salary,7
EMP11023,2023-09-26,Resignation,Relocation,681
EMP11024,2024-10-01,Resignation,Better Offer,1815
EMP11030,2024-09-25,Resignation,Personal / Family,249
EMP11031,2025-06-02,Resignation,Better Offer,135
EMP11032,2026-07-03,Absconding,No Intimation,20
EMP11033,2025-08-30,Termination,Performance,329
EMP11034,2025-12-28,Resignation,Better Offer,1782
EMP11036,2023-07-15,Resignation,Work Conditions,846
EMP11037,2025-10-08,Resignation,Salary,2160
EMP11038,2023-12-09,Resignation,Salary,1639
EMP11042,2025-07-10,Resignation,Work Conditions,726
EMP11043,2024-01-04,Resignation,Career Growth,166
EMP11044,2025-09-27,Resignation,Work Conditions,77
EMP11046,2024-06-05,Absconding,No Intimation,25
EMP11047,2026-06-15,Absconding,Wage Dispute,30
EMP11048,2023-10-28,Resignation,Personal / Family,7
EMP11049,2023-12-25,Resignation,Manager Relationship,1543
EMP11051,2025-09-30,Resignation,Manager Relationship,598
EMP11053,2023-12-28,Resignation,Personal / Family,12
EMP11054,2024-07-28,Resignation,Better Offer,421
EMP11055,2024-12-16,Resignation,Better Offer,9
EMP11057,2023-10-12,Resignation,Personal / Family,1080
EMP11058,2024-04-15,Resignation,Work Conditions,373
EMP11059,2024-04-07,End of Contract,Project Demobilisation,15
EMP11061,2026-06-29,Resignation,Personal / Family,2
EMP11065,2023-10-29,Resignation,Relocation,355
EMP11066,2026-06-13,Resignation,Relocation,560
EMP11069,2024-02-25,Resignation,Manager Relationship,211
EMP11073,2023-09-10,Resignation,Manager Relationship,899
EMP11075,2026-01-21,Resignation,Salary,11
EMP11076,2024-05-10,Resignation,Salary,307
EMP11079,2024-02-13,Resignation,Manager Relationship,658
EMP11083,2023-05-21,Termination,Performance,1108
EMP11084,2023-11-04,Absconding,Wage Dispute,21
EMP11085,2024-11-09,Absconding,No Intimation,7
EMP11088,2026-04-08,Resignation,Better Offer,361
EMP11090,2024-01-14,Resignation,Personal / Family,366
EMP11091,2023-12-10,Resignation,Relocation,57
EMP11092,2026-07-30,Resignation,Better Offer,999
EMP11093,2025-02-16,Resignation,Personal / Family,36
EMP11095,2024-07-21,Resignation,Salary,36
EMP11096,2024-03-03,Resignation,Work Conditions,692
EMP11097,2024-05-16,Resignation,Career Growth,669
EMP11100,2024-05-12,Termination,Performance,211
EMP11101,2026-06-05,Resignation,Better Offer,363
EMP11102,2024-11-15,Resignation,Relocation,6
EMP11104,2023-09-25,Resignation,Better Offer,1280
EMP11107,2025-04-17,Resignation,Career Growth,840
EMP11108,2024-05-15,Termination,Performance,88
EMP11109,2024-02-20,End of Contract,Contract Not Renewed,3
EMP11110,2024-10-07,Resignation,Manager Relationship,2
EMP11111,2023-09-14,Resignation,Relocation,1401
EMP11112,2026-07-27,Absconding,Wage Dispute,37
EMP11113,2025-02-03,Resignation,Relocation,275
EMP11116,2024-03-28,Resignation,Personal / Family,1373
EMP11117,2025-04-08,Resignation,Manager Relationship,185
EMP11118,2024-11-26,Resignation,Personal / Family,24
EMP11119,2024-02-01,Resignation,Relocation,861
EMP11120,2025-04-17,Resignation,Better Offer,1355
EMP11122,2023-10-23,Absconding,No Intimation,30
EMP11125,2026-06-16,End of Contract,Contract Not Renewed,857
EMP11126,2023-12-11,Resignation,Relocation,16
EMP11127,2024-08-10,Resignation,Salary,252
EMP11128,2023-07-22,Absconding,Wage Dispute,28
EMP11129,2023-10-16,Resignation,Manager Relationship,390
EMP11132,2026-01-29,Absconding,No Intimation,19
EMP11133,2026-01-22,Resignation,Relocation,2025
EMP11136,2026-02-08,Resignation,Manager Relationship,169
EMP11139,2024-07-15,Resignation,Career Growth,44
EMP11140,2024-11-13,Resignation,Work Conditions,798
EMP11142,2023-08-19,Absconding,Wage Dispute,14
EMP11147,2025-09-04,Resignation,Salary,2196
EMP11148,2023-06-24,Resignation,Relocation,991
EMP11152,2024-05-16,Resignation,Better Offer,906
EMP11153,2026-06-14,Absconding,Wage Dispute,15
EMP11154,2026-01-04,Resignation,Manager Relationship,22
EMP11155,2025-05-09,Resignation,Career Growth,1433
EMP11156,2023-07-22,Resignation,Relocation,42
EMP11157,2026-01-17,Resignation,Better Offer,161
EMP11159,2024-08-02,Absconding,No Intimation,20
EMP11161,2024-01-09,Termination,Attendance,1539
EMP11162,2024-09-21,Resignation,Manager Relationship,657
EMP11165,2023-11-27,Resignation,Career Growth,23
EMP11167,2025-07-16,Absconding,No Intimation,4
EMP11168,2024-02-16,End of Contract,Contract Not Renewed,899
EMP11169,2023-07-29,Resignation,Work Conditions,1558
EMP11170,2024-10-24,Resignation,Manager Relationship,1336
EMP11171,2024-01-13,Resignation,Career Growth,450
EMP11175,2026-06-04,Resignation,Work Conditions,761
EMP11178,2026-04-16,Resignation,Work Conditions,1069
EMP11179,2025-11-29,Resignation,Relocation,7
EMP11180,2023-12-28,Absconding,Site Conditions,5
EMP11181,2024-12-08,Resignation,Better Offer,29
EMP11183,2026-06-25,Resignation,Work Conditions,460
EMP11185,2023-06-24,Resignation,Manager Relationship,461
EMP11186,2023-11-07,Resignation,Personal / Family,958
EMP11187,2026-04-18,Resignation,Manager Relationship,329
EMP11188,2024-01-01,Resignation,Salary,1262
EMP11189,2025-09-18,Absconding,No Intimation,5
EMP11190,2023-08-27,Resignation,Relocation,134
EMP11191,2025-09-21,Resignation,Relocation,127
EMP11192,2026-08-26,Resignation,Relocation,102
EMP11193,2023-09-18,Resignation,Work Conditions,1628
EMP11194,2026-07-05,Resignation,Work Conditions,736
EMP11195,2023-11-23,Resignation,Salary,705
EMP11196,2024-11-30,Resignation,Relocation,2047
EMP11197,2023-10-02,Resignation,Personal / Family,448
EMP11198,2025-07-31,Resignation,Work Conditions,530
EMP11199,2024-11-24,Resignation,Career Growth,211
EMP11200,2024-03-29,Resignation,Manager Relationship,716
EMP11201,2026-08-15,Resignation,Personal / Family,2688
EMP11202,2024-04-19,Absconding,No Intimation,20
EMP11203,2025-10-03,Resignation,Better Offer,1564
EMP11204,2026-09-09,Resignation,Better Offer,417
EMP11205,2023-10-02,Absconding,Wage Dispute,23
EMP11208,2024-02-11,End of Contract,Project Demobilisation,8
EMP11210,2026-04-23,Resignation,Manager Relationship,1525
EMP11211,2026-04-20,Resignation,Relocation,191
EMP11213,2023-11-07,Absconding,Site Conditions,10
EMP11214,2026-04-30,Resignation,Relocation,250
EMP11215,2024-01-09,Resignation,Relocation,439
EMP11216,2024-08-02,Resignation,Work Conditions,1106
EMP11217,2026-03-14,Resignation,Manager Relationship,28
EMP11218,2024-06-13,Resignation,Manager Relationship,166
EMP11222,2024-01-23,Resignation,Work Conditions,392
EMP11223,2025-05-19,Absconding,Site Conditions,9
EMP11224,2024-12-16,Absconding,Wage Dispute,16
EMP11225,2026-02-14,Resignation,Relocation,189
EMP11230,2025-12-17,Resignation,Salary,718
EMP11233,2024-10-23,Resignation,Better Offer,1753
EMP11235,2025-07-03,Resignation,Manager Relationship,460
EMP11236,2026-09-13,Resignation,Personal / Family,694
EMP11237,2025-04-04,Resignation,Personal / Family,1863
EMP11238,2025-03-20,Resignation,Work Conditions,502
EMP11239,2024-12-23,Absconding,Wage Dispute,51
EMP11241,2023-04-29,Resignation,Work Conditions,1190
EMP11242,2024-04-28,Resignation,Salary,1062
EMP11243,2024-10-03,Resignation,Relocation,313
EMP11244,2026-04-20,Absconding,No Intimation,30
EMP11245,2025-05-27,Resignation,Career Growth,171
EMP11246,2024-02-18,Resignation,Relocation,1619
EMP11247,2024-11-12,Resignation,Better Offer,115
EMP11248,2023-12-02,Resignation,Manager Relationship,1213
EMP11252,2023-06-09,Absconding,Wage Dispute,6
EMP11255,2024-09-11,Resignation,Better Offer,1316
EMP11256,2026-08-06,Resignation,Relocation,229
EMP11257,2023-12-01,Resignation,Better Offer,20
EMP11258,2024-08-31,Resignation,Relocation,1546
EMP11261,2024-05-07,Resignation,Manager Relationship,220
EMP11266,2023-07-30,Resignation,Relocation,1336
EMP11267,2023-08-23,Resignation,Salary,898
EMP11268,2024-01-09,Resignation,Career Growth,409
EMP11272,2025-01-05,Resignation,Personal / Family,610
EMP11273,2025-04-28,Resignation,Work Conditions,1876
EMP11274,2026-09-12,Resignation,Manager Relationship,196
EMP11275,2025-09-08,Resignation,Better Offer,51
EMP11276,2025-01-13,Resignation,Work Conditions,9
EMP11279,2024-04-03,Resignation,Work Conditions,25
EMP11280,2024-08-15,Resignation,Career Growth,19
EMP11281,2026-04-23,Resignation,Manager Relationship,2322
EMP11282,2024-02-27,Resignation,Manager Relationship,887
EMP11287,2026-06-05,Resignation,Relocation,2050
EMP11288,2024-11-27,Absconding,Wage Dispute,32
EMP11289,2026-03-04,Resignation,Work Conditions,2141
EMP11290,2025-09-07,Resignation,Work Conditions,1
EMP11296,2025-03-30,Resignation,Career Growth,2117
EMP11297,2023-10-17,Resignation,Work Conditions,876
EMP11298,2024-11-27,Resignation,Career Growth,536
EMP11300,2024-09-16,Resignation,Career Growth,37
EMP11302,2025-09-15,Resignation,Personal / Family,44
EMP11305,2023-11-04,Resignation,Relocation,919
EMP11308,2024-02-02,Resignation,Salary,6
EMP11309,2023-05-27,Resignation,Manager Relationship,821
EMP11312,2024-10-17,Resignation,Relocation,537
EMP11315,2024-11-10,Resignation,Manager Relationship,810
EMP11316,2024-03-28,End of Contract,Project Demobilisation,442
EMP11317,2024-01-01,Resignation,Career Growth,44
EMP11318,2024-02-02,Resignation,Personal / Family,774
EMP11320,2024-03-28,Absconding,No Intimation,26
EMP11322,2024-04-30,Resignation,Salary,73
EMP11326,2024-04-11,Resignation,Manager Relationship,159
EMP11327,2023-05-01,Absconding,Wage Dispute,9
EMP11328,2024-07-13,Absconding,Site Conditions,21
EMP11330,2026-06-22,Resignation,Career Growth,219
EMP11337,2024-05-30,Resignation,Relocation,1415
EMP11338,2023-04-16,Resignation,Better Offer,430
EMP11339,2024-12-14,Resignation,Manager Relationship,1882
EMP11340,2024-03-21,Resignation,Personal / Family,588
EMP11341,2026-07-28,Resignation,Better Offer,339
EMP11344,2024-06-10,Resignation,Work Conditions,741
EMP11345,2023-07-08,Resignation,Salary,1388
EMP11346,2025-10-23,Resignation,Career Growth,2203
EMP11347,2023-12-15,Absconding,Wage Dispute,20
EMP11348,2026-04-04,Resignation,Career Growth,1297
EMP11349,2026-03-23,Resignation,Personal / Family,1567
EMP11352,2025-12-23,Resignation,Salary,1181
EMP11355,2023-12-22,Resignation,Better Offer,1518
EMP11356,2026-07-17,Resignation,Manager Relationship,944
EMP11357,2026-08-23,Resignation,Relocation,2536
EMP11358,2026-05-24,Resignation,Career Growth,302
EMP11360,2025-11-28,Resignation,Manager Relationship,356
EMP11363,2025-08-23,Resignation,Career Growth,140
EMP11364,2023-06-11,Resignation,Relocation,744
EMP11365,2025-01-04,Resignation,Better Offer,887
EMP11366,2025-07-16,Absconding,Wage Dispute,18
EMP11368,2025-11-09,Absconding,No Intimation,8
EMP11369,2024-04-30,Absconding,Site Conditions,3
EMP11372,2025-01-26,Resignation,Salary,568
EMP11373,2024-10-08,Resignation,Relocation,1625
EMP11374,2023-12-30,Absconding,Wage Dispute,14
EMP11375,2026-01-11,Resignation,Work Conditions,1002
EMP11378,2025-02-21,Resignation,Salary,594
EMP11379,2026-09-01,Resignation,Salary,346
EMP11380,2023-09-20,Resignation,Better Offer,1344
EMP11381,2026-05-21,Resignation,Work Conditions,152
EMP11382,2023-08-24,Resignation,Manager Relationship,1353
EMP11386,2023-05-22,Resignation,Personal / Family,1122
EMP11387,2025-03-29,Resignation,Career Growth,476
EMP11388,2025-03-10,Absconding,Site Conditions,2
EMP11389,2023-04-07,Resignation,Personal / Family,161
EMP11390,2025-11-20,Absconding,Wage Dispute,33
EMP11391,2024-02-10,Resignation,Relocation,1491
EMP11393,2025-05-15,Absconding,No Intimation,12
EMP11394,2023-07-29,Resignation,Manager Relationship,63
EMP11396,2026-01-11,Resignation,Salary,71
EMP11397,2023-04-17,Resignation,Salary,713
EMP11398,2024-04-06,Resignation,Better Offer,985
EMP11400,2026-05-15,Resignation,Relocation,2096
EMP11401,2026-01-21,Resignation,Relocation,1755
EMP11402,2023-11-07,Resignation,Manager Relationship,314
EMP11405,2026-02-08,Resignation,Salary,1631
EMP11408,2024-01-18,Resignation,Better Offer,1194
EMP11411,2024-05-31,Resignation,Manager Relationship,139
EMP11413,2026-02-28,Resignation,Work Conditions,336
EMP11414,2024-05-14,Resignation,Work Conditions,276
EMP11415,2025-09-21,Resignation,Work Conditions,393
EMP11416,2026-01-08,Absconding,Wage Dispute,12
EMP11419,2023-08-29,Resignation,Salary,305
EMP11421,2024-09-19,Resignation,Career Growth,33
EMP11423,2025-08-18,Resignation,Better Offer,51
EMP11424,2026-08-11,Resignation,Career Growth,290
EMP11429,2023-12-18,Absconding,Site Conditions,30
EMP11433,2024-09-17,Resignation,Relocation,1059
EMP11434,2024-06-19,Resignation,Manager Relationship,594
EMP11436,2023-08-25,Resignation,Salary,251
EMP11437,2026-05-05,Resignation,Manager Relationship,10
EMP11438,2024-12-30,Resignation,Salary,394
EMP11443,2026-07-17,Resignation,Relocation,846
EMP11444,2025-06-03,Resignation,Relocation,1559
EMP11445,2026-08-01,Resignation,Career Growth,28
EMP11447,2026-02-06,Resignation,Better Offer,1308
EMP11448,2024-01-14,Resignation,Better Offer,1130
EMP11449,2026-03-12,Resignation,Work Conditions,348
EMP11452,2024-11-15,Resignation,Better Offer,461
EMP11453,2024-05-19,Resignation,Salary,400
EMP11454,2024-09-22,Resignation,Better Offer,1541
EMP11455,2025-07-08,Resignation,Relocation,689
EMP11456,2025-01-15,Resignation,Manager Relationship,158
EMP11461,2026-04-29,Resignation,Better Offer,74
EMP11462,2023-10-04,Resignation,Career Growth,1009
EMP11465,2023-10-19,Resignation,Personal / Family,425
EMP11468,2023-12-09,Absconding,No Intimation,21
EMP11469,2025-11-23,Resignation,Work Conditions,78
EMP11470,2024-03-17,Resignation,Manager Relationship,330
EMP11471,2024-08-11,Absconding,No Intimation,15
EMP11472,2025-09-19,Resignation,Relocation,811
EMP11473,2026-07-20,End of Contract,Contract Not Renewed,1283
EMP11477,2024-10-05,End of Contract,Contract Not Renewed,21
EMP11478,2025-03-05,Termination,Performance,109
EMP11479,2025-07-20,Resignation,Better Offer,2066
EMP11480,2023-12-29,Resignation,Personal / Family,1239
EMP11481,2023-06-19,Resignation,Salary,607
EMP11482,2024-08-05,Resignation,Career Growth,1293
EMP11483,2023-10-15,Resignation,Career Growth,635
EMP11484,2026-01-04,Resignation,Personal / Family,785
EMP11485,2025-04-15,Resignation,Salary,1159
EMP11486,2024-03-23,Resignation,Better Offer,1005
EMP11490,2026-06-28,Resignation,Career Growth,22
EMP11492,2024-07-28,Resignation,Relocation,29
EMP11493,2024-11-04,Resignation,Work Conditions,846
EMP11494,2024-08-26,Resignation,Manager Relationship,556
EMP11495,2026-02-21,Resignation,Personal / Family,147
EMP11497,2025-07-28,Resignation,Personal / Family,1786
EMP11498,2023-04-22,Resignation,Better Offer,962
EMP11500,2026-04-17,Resignation,Manager Relationship,804
EMP11502,2025-08-24,Resignation,Salary,50
EMP11505,2025-02-14,Resignation,Manager Relationship,20
EMP11507,2024-01-25,Resignation,Work Conditions,1771
EMP11508,2024-05-31,Resignation,Career Growth,1882
EMP11509,2023-06-21,Resignation,Career Growth,1009
EMP11515,2024-09-04,Resignation,Manager Relationship,4
EMP11517,2024-12-26,Resignation,Manager Relationship,572
EMP11518,2024-05-29,Resignation,Career Growth,4
EMP11520,2025-01-01,Resignation,Work Conditions,743
EMP11521,2024-02-12,Resignation,Personal / Family,1232
EMP11523,2025-11-02,Resignation,Better Offer,505
EMP11524,2025-11-19,Resignation,Work Conditions,249
EMP11525,2024-03-19,Resignation,Salary,892
EMP11528,2024-02-10,Resignation,Career Growth,1610
EMP11529,2024-03-27,Resignation,Work Conditions,1637
EMP11530,2025-03-16,Resignation,Better Offer,477
EMP11531,2026-05-28,Resignation,Work Conditions,5
EMP11532,2025-10-03,Resignation,Personal / Family,1329
EMP11533,2023-06-09,Absconding,Wage Dispute,20
EMP11535,2024-05-09,Absconding,Wage Dispute,26
EMP11537,2023-08-12,Absconding,Wage Dispute,7
EMP11538,2024-06-14,Resignation,Personal / Family,774
EMP11540,2026-04-01,Resignation,Salary,697
EMP11541,2025-04-15,Resignation,Work Conditions,3
EMP11542,2023-08-28,Resignation,Better Offer,1372
EMP11543,2025-09-04,Resignation,Work Conditions,824
EMP11547,2025-03-13,Resignation,Career Growth,271
EMP11548,2023-11-06,Resignation,Better Offer,576
EMP11551,2024-04-30,Resignation,Career Growth,1176
EMP11552,2024-01-29,Resignation,Career Growth,135
EMP11555,2023-06-27,Resignation,Manager Relationship,1468
EMP11556,2024-11-19,Resignation,Better Offer,346
EMP11558,2024-09-14,Resignation,Work Conditions,673
EMP11559,2026-01-18,End of Contract,Project Demobilisation,197
EMP11561,2026-05-18,Resignation,Salary,226
EMP11562,2025-08-28,Resignation,Relocation,982
EMP11564,2024-01-11,Resignation,Work Conditions,598
EMP11565,2023-10-30,Resignation,Relocation,1606
EMP11567,2023-07-12,Resignation,Personal / Family,538
EMP11568,2023-10-16,Resignation,Work Conditions,393
EMP11571,2024-03-07,Resignation,Personal / Family,1635
EMP11572,2025-01-21,Termination,Disciplinary,52
EMP11573,2025-09-27,Resignation,Salary,504
EMP11574,2025-12-10,Resignation,Manager Relationship,564
EMP11576,2023-12-12,Resignation,Manager Relationship,10
EMP11578,2024-01-13,Resignation,Salary,1135
EMP11579,2023-07-05,Resignation,Better Offer,541
EMP11580,2026-05-29,Resignation,Salary,209
EMP11582,2026-07-19,Resignation,Salary,43
EMP11583,2024-10-24,Resignation,Relocation,1784
EMP11584,2024-08-25,Resignation,Personal / Family,15
EMP11586,2025-07-07,Resignation,Better Offer,226
EMP11587,2023-08-15,Absconding,No Intimation,17
EMP11588,2024-12-10,Resignation,Career Growth,31
EMP11590,2023-07-01,Resignation,Salary,499
EMP11591,2024-12-04,Termination,Performance,606
EMP11592,2026-08-22,Termination,Performance,693
EMP11593,2026-08-31,Resignation,Manager Relationship,625
EMP11594,2024-03-13,Resignation,Personal / Family,385
EMP11595,2025-04-16,Termination,Performance,1646
EMP11598,2024-06-01,Resignation,Relocation,343
EMP11599,2024-04-08,Resignation,Personal / Family,859
EMP11600,2024-07-16,Resignation,Better Offer,880
EMP11601,2024-09-30,Resignation,Personal / Family,212
EMP11602,2025-09-12,Resignation,Manager Relationship,1792
EMP11604,2025-03-03,Resignation,Personal / Family,520
EMP11605,2025-05-14,Resignation,Work Conditions,291
EMP11607,2025-02-10,End of Contract,Project Demobilisation,23
EMP11608,2023-07-21,Resignation,Better Offer,330
EMP11609,2026-05-13,Resignation,Career Growth,648
EMP11612,2024-07-15,Resignation,Salary,107
EMP11613,2025-04-01,Resignation,Career Growth,1686
EMP11614,2026-09-18,Resignation,Personal / Family,1987
EMP11615,2026-09-01,Resignation,Career Growth,696
EMP11616,2024-04-11,Resignation,Relocation,1291
EMP11617,2025-10-14,Resignation,Manager Relationship,136
EMP11619,2024-07-22,Resignation,Manager Relationship,953
EMP11620,2025-09-05,Resignation,Career Growth,1328
EMP11622,2023-08-28,Resignation,Manager Relationship,1438
EMP11623,2024-03-12,Termination,Disciplinary,992
EMP11624,2024-11-09,Resignation,Personal / Family,14
EMP11627,2026-04-09,Resignation,Salary,19
EMP11628,2023-07-21,Resignation,Relocation,20
EMP11629,2024-05-26,Resignation,Salary,8
EMP11630,2023-10-19,Resignation,Better Offer,12
EMP11631,2024-11-10,Resignation,Better Offer,2078
EMP11633,2024-01-23,Resignation,Manager Relationship,10
EMP11634,2026-05-04,Resignation,Better Offer,975
EMP11635,2025-09-22,Resignation,Better Offer,37
EMP11636,2024-02-07,Resignation,Salary,1220
EMP11637,2024-04-24,Resignation,Personal / Family,1549
EMP11639,2025-11-12,Resignation,Work Conditions,25
EMP11640,2025-03-08,Resignation,Relocation,21
EMP11642,2025-06-10,Absconding,Site Conditions,10
EMP11643,2024-04-08,Resignation,Salary,30
EMP11644,2023-10-31,Resignation,Career Growth,798
EMP11646,2023-07-14,Resignation,Better Offer,753
EMP11648,2026-04-30,Resignation,Manager Relationship,901
EMP11649,2025-04-25,Resignation,Manager Relationship,111
EMP11650,2024-09-06,Resignation,Career Growth,447
EMP11652,2023-11-15,Resignation,Relocation,838
EMP11654,2026-02-12,Resignation,Salary,579
EMP11656,2024-12-22,Resignation,Career Growth,758
EMP11657,2024-08-11,Absconding,No Intimation,15
EMP11658,2025-04-29,Resignation,Manager Relationship,2194
EMP11659,2024-04-15,End of Contract,Project Demobilisation,1727
EMP11660,2025-12-21,Resignation,Manager Relationship,197
EMP11664,2023-06-30,Resignation,Relocation,253
EMP11666,2023-08-01,Resignation,Personal / Family,1167
EMP11669,2025-12-08,Resignation,Work Conditions,51
EMP11670,2024-11-03,Resignation,Manager Relationship,1729
EMP11671,2024-09-07,Resignation,Relocation,739
EMP11673,2024-08-05,Resignation,Better Offer,9
EMP11674,2026-01-27,Absconding,Wage Dispute,45
EMP11676,2024-02-05,Resignation,Personal / Family,1078
EMP11678,2024-11-13,Absconding,No Intimation,11
EMP11679,2023-08-31,Resignation,Relocation,1375
EMP11682,2026-04-07,Resignation,Personal / Family,206
EMP11683,2023-07-16,Absconding,Site Conditions,29
EMP11686,2025-07-10,Resignation,Better Offer,376
EMP11687,2023-10-12,Resignation,Salary,1483
EMP11689,2024-12-13,Resignation,Personal / Family,826
